keys,zh,en,ms
UI_EFFECT_SPLASH_DESC,攻击命中时对周围敌人造成范围伤害。,Deals area damage to nearby enemies on hit.,Menyebabkan kerosakan kawasan kepada musuh berhampiran apabila terkena.
UI_FLAG_FLYING,飞行,Flying,Terbang
UI_FLAG_ELITE,精英,Elite,Elit
UI_FLAG_GIANT,巨型,Giant,Gergasi
UI_FLAG_FAST,快速,Fast,Pantas
UI_FLAG_CONTROL_IMMUNE,免疫控制,Control Immune,Kebal Kawalan
UI_FLAG_DOT_IMMUNE,免疫DOT,DOT Immune,Kebal DOT
UI_FLAG_BERSERK,狂暴,Berserk,Mengamuk
UI_FLAG_NORMAL,普通,Normal,Biasa
UI_GUIDE_TYPE_FORMAT,类型：%s,Type: %s,Jenis: %s
UI_GUIDE_NONE,无,None,Tiada
UI_GUIDE_ENEMY_STATS,❤ HP: %d\n⚡ 速度: %.0f\n⚔ 伤害: %d\n💰 金币: %d\n🛡 护甲: %d\n🎯 克制: %s,❤ HP: %d\n⚡ Speed: %.0f\n⚔ Damage: %d\n💰 Gold: %d\n🛡 Armor: %d\n🎯 Counter: %s,❤ HP: %d\n⚡ Kelajuan: %.0f\n⚔ Kerosakan: %d\n💰 Emas: %d\n🛡 Perisai: %d\n🎯 Lawan: %s
UI_GUIDE_RARITY_FORMAT,稀有度：%s\n攻击类型：%s,Rarity: %s\nAttack Type: %s,Jarang: %s\nJenis Serangan: %s
UI_GUIDE_TOWER_STATS,⚔ 伤害: %.0f\n⚡ 攻速: %.1f/s\n📏 射程: %.0f\n💰 费用: %d,⚔ Damage: %.0f\n⚡ Speed: %.1f/s\n📏 Range: %.0f\n💰 Cost: %d,⚔ Kerosakan: %.0f\n⚡ Kelajuan: %.1f/s\n📏 Jarak: %.0f\n💰 Kos: %d
UI_GUIDE_HERO_UNIT,英雄单位,Hero Unit,Unit Wira
UI_UPGRADE_TYPE_TOWER,炮台属性,Tower Stat,Atribut Menara
UI_UPGRADE_TYPE_GLOBAL,全局属性,Global Stat,Atribut Global
UI_UPGRADE_TYPE_SYNERGY,羁绊,Synergy,Sinergi
UI_UPGRADE_TYPE_COST,费用减免,Cost Reduction,Pengurangan Kos
UI_GUIDE_UPGRADE_PATHS,升级路线,Upgrade Paths,Laluan Naik Taraf
UI_GUIDE_COST_FORMAT,💰 费用: %d,💰 Cost: %d,💰 Kos: %d
UI_CHEST_TAP_UNLOCK,点击解锁,Tap to Unlock,Ketik untuk Buka Kunci
UI_CHEST_TAP_OPEN,点击开箱,Tap to Open,Ketik untuk Buka
UI_CHEST_UNLOCKING,解锁中,Unlocking,Membuka Kunci
UI_CHEST_UNLOCKING_MSG,已有宝箱正在解锁！\n请等待当前宝箱解锁完成,A chest is already unlocking!\nPlease wait for it to finish,Peti sedang dibuka kunci!\nSila tunggu sehingga selesai
UI_CHEST_UNLOCK_TITLE,%s 解锁中,%s Unlocking,%s Membuka Kunci
UI_CHEST_TIME_REMAINING,⏳ 剩余 %02d:%02d:%02d,⏳ Remaining %02d:%02d:%02d,⏳ Baki %02d:%02d:%02d
UI_CHEST_INSTANT_UNLOCK,💎 立即解锁\n花费 %d 宝石（当前 %d）,💎 Instant Unlock\nCost %d gems (Have %d),💎 Buka Segera\nKos %d permata (Ada %d)
UI_CHEST_AD_SPEED_UP,📺 看广告加速\n减少 30 分钟,📺 Watch Ad to Speed Up\n-30 minutes,📺 Tonton Iklan Percepatkan\n-30 minit
UI_CHEST_CLOSE,关闭,Close,Tutup
UI_CHEST_SLOTS_FULL,宝箱槽位已满,Chest Slots Full,Slot Peti Penuh
UI_CHEST_SLOTS_FULL_MSG,所有槽位已满！\n请先解锁或清空一个槽位,All slots are full!\nUnlock or clear a slot first,Semua slot penuh!\nBuka kunci atau kosongkan slot terlebih dahulu
UI_CHEST_CONFIRM_FREE_WOODEN,确认免费领取 木宝箱？,Confirm free Wooden Chest?,Sahkan Peti Kayu percuma?
UI_CHEST_FREE_CLAIM,✅ 免费领取,✅ Free Claim,✅ Tuntutan Percuma
UI_CHEST_INFO_TITLE,%s 内容,%s Contents,Kandungan %s
UI_CHEST_CARD_COUNT,开箱张数：%d 张,Cards per open: %d,Kad setiap buka: %d
UI_CHEST_CONFIRM_FREE,确认获取 %s（免费）？,Confirm free %s?,Sahkan %s percuma?
UI_CHEST_CONFIRM_BUY,确认购买 %s？\n花费 🎫 %d 券（当前 🎫 %d）,Buy %s?\nCost 🎫 %d vouchers (Have 🎫 %d),Beli %s?\nKos 🎫 %d baucar (Ada 🎫 %d)
UI_CHEST_VOUCHER_LOW,券不足,Not Enough Vouchers,Baucar Tidak Mencukupi
UI_CHEST_VOUCHER_LOW_MSG,需要 🎫 %d 券（当前 🎫 %d）,Need 🎫 %d vouchers (Have 🎫 %d),Perlu 🎫 %d baucar (Ada 🎫 %d)
UI_CHEST_BULK_CONFIRM,确认 10 连开箱？\n\n%s ×%d\n花费 🎫 %d 券（当前 🎫 %d）,Confirm 10x open?\n\n%s ×%d\nCost 🎫 %d vouchers (Have 🎫 %d),Sahkan 10x buka?\n\n%s ×%d\nKos 🎫 %d baucar (Ada 🎫 %d)
UI_CHEST_FRAG_X1,碎片 ×1,Fragment ×1,Serpihan ×1
UI_SHOP_SECTION_FRAGS,🧩 碎片商店,🧩 Fragment Shop,🧩 Kedai Serpihan
UI_SHOP_SECTION_ITEMS,🎒 道具商店,🎒 Item Shop,🎒 Kedai Item
UI_SHOP_SECTION_CURRENCY,💎 钻石商店,💎 Gem Shop,💎 Kedai Permata
UI_SHOP_NO_ITEMS,暂无道具，敬请期待,No items yet. Stay tuned!,Tiada item lagi. Nantikan!
UI_SHOP_PURCHASED,✓ 已购买,✓ Purchased,✓ Dibeli
UI_SHOP_SOLD_OUT,已售罄,Sold Out,Habis Dijual
UI_SHOP_LIMIT_ONE,限购1次,Limit 1,Had 1
UI_SHOP_BOUGHT_COUNT,已购 %d/%d,Bought %d/%d,Dibeli %d/%d
UI_SHOP_CONFIRM_BUY,确认购买 %s？\n花费 🪙 %d（当前 🪙 %d）,Buy %s?\nCost 🪙 %d (Have 🪙 %d),Beli %s?\nKos 🪙 %d (Ada 🪙 %d)
UI_SHOP_CONFIRM_GEMS,确认购买 %s？\n花费 💎 %d（当前 💎 %d）,Buy %s?\nCost 💎 %d (Have 💎 %d),Beli %s?\nKos 💎 %d (Ada 💎 %d)
UI_SHOP_PAYMENT_FAILED,购买失败,Purchase Failed,Pembelian Gagal
UI_SHOP_GEMS_LOW,钻石不足！\n需要 💎 %d（当前 💎 %d）,Not enough gems!\nNeed 💎 %d (Have 💎 %d),Permata tidak mencukupi!\nPerlu 💎 %d (Ada 💎 %d)
UI_SHOP_FRAG_REWARD,获得 %s 碎片 ×%d！,Got %s fragments ×%d!,Dapat serpihan %s ×%d!
UI_SHOP_OK,确定,OK,OK
UI_FRAG_QTY,×%d 碎片,×%d Fragments,×%d Serpihan
UI_FRAG_BOUGHT,✓ 已购买,✓ Purchased,✓ Dibeli
UI_FRAG_GOLD_LOW,金币不足\n\n需要 🪙%d\n当前 🪙%d,Not enough gold\n\nNeed 🪙%d\nHave 🪙%d,Emas tidak mencukupi\n\nPerlu 🪙%d\nAda 🪙%d
UI_FRAG_CONFIRM_BUY,确认购买？\n\n%s  %s\n×%d 碎片\n\n🪙 %d 金币,Confirm purchase?\n\n%s  %s\n×%d fragments\n\n🪙 %d gold,Sahkan pembelian?\n\n%s  %s\n×%d serpihan\n\n🪙 %d emas
UI_FACTORY_LV_UNLOCK,Lv.%d 解锁,Lv.%d Unlock,Lv.%d Buka Kunci
UI_FACTORY_FRAG_COUNT,碎片: %d/%d,Frags: %d/%d,Serpihan: %d/%d
UI_FACTORY_UNLOCKED,已解锁,Unlocked,Dibuka Kunci
UI_FACTORY_UNLOCK,解锁,Unlock,Buka Kunci
UI_FACTORY_LEVEL_REQ,🔒 需要达到 Lv.%d\n才能解锁此炮台,🔒 Requires Lv.%d\nto unlock this tower,🔒 Memerlukan Lv.%d\nuntuk buka kunci menara ini
UI_PROFILE_ENEMIES_DEFEATED,击败敌人,Enemies Defeated,Musuh Dikalahkan
UI_ACHIEV_FIRST_BATTLE,初次战斗,First Battle,Pertempuran Pertama
UI_ACHIEV_FIRST_WIN,首次胜利,First Victory,Kemenangan Pertama
UI_ACHIEV_VETERAN,百战老兵,Veteran,Veteran
UI_ACHIEV_CHAMPION,农场冠军,Farm Champion,Juara Ladang
UI_ACHIEV_100_KILLS,百杀勇士,100 Kills,100 Bunuhan
UI_ACHIEV_1000_KILLS,千杀传说,1000 Kills,1000 Bunuhan
UI_LEVEL_FRAG_FORMAT,%s碎片×%d,%s Frag ×%d,%s Serpihan ×%d
UI_LEVEL_CLAIM,领取！,Claim!,Tuntut!
UI_LEVEL_BUY_PASS,购买升级通行证？\n\nRM %.2f 永久激活\n付费列所有等级奖励全部解锁,Buy Battle Pass?\n\nRM %.2f permanent\nAll paid tier rewards unlocked,Beli Pas Pertempuran?\n\nRM %.2f kekal\nSemua ganjaran tahap berbayar dibuka
UI_LEVEL_BUY_FAILED,购买失败,Purchase Failed,Pembelian Gagal
UI_LEVEL_PASS_ACTIVE,✓ 已激活,✓ Activated,✓ Diaktifkan
UI_LEVEL_CLAIM_ALL,🎁 一键领取 (%d),🎁 Claim All (%d),🎁 Tuntut Semua (%d)
UI_CHEST_CONTINUE,继续,Continue,Teruskan
UI_HOME_GUEST,游客,Guest,Tetamu
UI_DIALOG_HINT,提示,Notice,Notis
UI_FRAG_REFRESH_6H,⏱ 6小时刷新,⏱ 6h Refresh,⏱ Segar Semula 6j
UI_FRAG_REFRESH_DAILY,📅 每日刷新,📅 Daily Refresh,📅 Segar Semula Harian
UI_FRAG_REFRESH_WEEKLY,📆 每周刷新,📆 Weekly Refresh,📆 Segar Semula Mingguan
UI_SHOP_PKG_STARTER_BASIC,新手大礼包 · 基础,Starter Pack · Basic,Pek Pemula · Asas
UI_SHOP_DESC_STARTER_BASIC,稻草人碎片 ×100\n金币 ×500  钻石 ×100,Scarecrow Frags ×100\nGold ×500  Gems ×100,Serpihan Orang-orangan ×100\nEmas ×500  Permata ×100
UI_SHOP_PKG_STARTER_FARMER,新手大礼包 · 农夫,Starter Pack · Farmer,Pek Pemula · Petani
UI_SHOP_DESC_STARTER_FARMER,农夫碎片 ×150\n金币 ×1000  钻石 ×500,Farmer Frags ×150\nGold ×1000  Gems ×500,Serpihan Petani ×150\nEmas ×1000  Permata ×500
UI_SHOP_PKG_PURPLE_BUNDLE,新手紫色礼包,Purple Hero Bundle,Pek Wira Ungu
UI_SHOP_DESC_PURPLE_BUNDLE,随机紫色英雄碎片 ×150\n金币 ×300,Random Purple Hero Frags ×150\nGold ×300,Serpihan Wira Ungu Rawak ×150\nEmas ×300
UI_SHOP_PKG_WHITE_BUNDLE,新手白色礼包,White Tower Bundle,Pek Menara Putih
UI_SHOP_DESC_WHITE_BUNDLE,随机白色炮台碎片 ×100,Random White Tower Frags ×100,Serpihan Menara Putih Rawak ×100
UI_SHOP_PKG_ULTIMATE,终极大礼包,Ultimate Bundle,Pek Muktamad
UI_SHOP_DESC_ULTIMATE,直接满等级（Lv.100）\n全部炮台碎片 ×30,Instant Max Level (Lv.100)\nAll Tower Frags ×30,Tahap Maks Segera (Lv.100)\nSemua Serpihan Menara ×30
UI_SHOP_BADGE_ULTIMATE,终极特惠,Ultimate Deal,Tawaran Muktamad
UI_SHOP_PKG_HERO_GUARDIAN,英雄礼包 · 农场守卫者,Hero Pack · Farm Guardian,Pek Wira · Pengawal Ladang
UI_SHOP_DESC_HERO_GUARDIAN,农场守卫者碎片 ×30,Farm Guardian Frags ×30,Serpihan Pengawal Ladang ×30
UI_SHOP_BADGE_HERO,英雄,Hero,Wira
UI_SHOP_PKG_GOLD_SMALL,小量金币,Gold (Small),Emas (Kecil)
UI_SHOP_DESC_GOLD_1500,金币 ×1500,Gold ×1500,Emas ×1500
UI_SHOP_BADGE_FIRST_DEAL,首次特惠,First Deal,Tawaran Pertama
UI_SHOP_PKG_GEMS_SMALL,小量钻石,Gems (Small),Permata (Kecil)
UI_SHOP_DESC_GEMS_300,钻石 ×300,Gems ×300,Permata ×300
UI_SHOP_PKG_XP_SMALL,小量经验,XP (Small),XP (Kecil)
UI_SHOP_DESC_XP_200,经验 ×200,XP ×200,XP ×200
UI_SHOP_PKG_XP_LARGE,大量经验,XP (Large),XP (Besar)
UI_SHOP_DESC_XP_1000,经验 ×1000,XP ×1000,XP ×1000
UI_SHOP_PKG_VOUCHER_SMALL,少量券,Vouchers (Small),Baucar (Kecil)
UI_SHOP_DESC_VOUCHER_10,券 ×10,Vouchers ×10,Baucar ×10
UI_SHOP_PKG_VOUCHER_LARGE,大量券,Vouchers (Large),Baucar (Besar)
UI_SHOP_DESC_VOUCHER_110,券 ×110（额外赠送 10）,Vouchers ×110 (Bonus 10),Baucar ×110 (Bonus 10)
UI_SHOP_BADGE_VALUE,超值,Great Value,Nilai Hebat
UI_TUTORIAL_SUBTITLE,学习基础战斗玩法,Learn basic battle gameplay,Belajar permainan pertempuran asas
UI_TUTORIAL_TAP_START,点击开始,Tap to Start,Ketik untuk Mula
UI_LEVEL_BACK,← 返回,← Back,← Kembali
UI_SAVE_PLACEHOLDER,普通 7/40 ▶,Normal 7/40 ▶,Biasa 7/40 ▶
UI_CHEST_WOOD_CARDS,-3 张卡片,-3 Cards,-3 Kad
UI_CHEST_WOOD_RARITY,-含白/绿稀有,-Common/Uncommon Rarity,-Biasa/Luar Biasa
UI_CHEST_IRON_CARDS,-5 张卡片,-5 Cards,-5 Kad
UI_CHEST_IRON_RARITY,-含绿/蓝稀有,-Uncommon/Rare Rarity,-Luar Biasa/Jarang
UI_CHEST_GOLD_CARDS,-8 张卡片,-8 Cards,-8 Kad
UI_CHEST_GOLD_RARITY,-含蓝/紫/橙稀有,-Rare/Epic/Legendary,-Jarang/Epik/Legenda
UI_CHEST_BULK_WOOD,木宝箱 ×10,Wooden ×10,Kayu ×10
UI_CHEST_BULK_IRON,铁宝箱 ×10,Iron ×10,Besi ×10
UI_CHEST_BULK_GOLD,金宝箱 ×10,Golden ×10,Emas ×10
UI_CHEST_INFO_CONTENTS,宝箱内容,Chest Contents,Kandungan Peti
UI_CHEST_INFO_CARD_COUNT,开箱张数：?,Cards per open: ?,Kad setiap buka: ?
UI_CHEST_INFO_RARITY,稀有度概率,Rarity Odds,Kebarangkalian Jarang
UI_CHEST_CONFIRM_TITLE,确认购买,Confirm Purchase,Sahkan Pembelian
UI_CHEST_CONFIRM_MSG,确认购买？,Confirm purchase?,Sahkan pembelian?
UI_SAVE_FORMAT,%s 第%d波,%s Wave %d,%s Gelombang %d
UI_LEVEL_ALL_CLAIMED,已全部领取,All Claimed,Semua Dituntut
UI_GU_RARITY_COMMON,普通,Common,Biasa
UI_GU_RARITY_RARE,稀有,Rare,Jarang
UI_GU_RARITY_EPIC,史诗,Epic,Epik
UI_GU_RARITY_LEGENDARY,传说,Legendary,Legenda
UI_GU_EX_DMG,伤害：%.0f → %.0f,DMG: %.0f → %.0f,DMG: %.0f → %.0f
UI_GU_EX_SPD,间隔：%.2fs → %.2fs,Interval: %.2fs → %.2fs,Selang: %.2fs → %.2fs
UI_GU_EX_RNG,射程：%.0f → %.0f,Range: %.0f → %.0f,Jarak: %.0f → %.0f
UI_GU_EX_COST,费用：%d → %d 🪙,Cost: %d → %d 🪙,Kos: %d → %d 🪙
UI_GU_EX_SPD_PCT,攻速 +%.0f%%,ATK SPD +%.0f%%,Kelajuan +%.0f%%
UI_GU_EX_COST_PCT,费用折扣 %.0f%%,Cost -%.0f%%,Diskaun Kos %.0f%%
UI_GU_REQUIRES,⚠ 需要：%s,⚠ Requires: %s,⚠ Memerlukan: %s
UI_GU_INSUFFICIENT,不足,Low,Rendah
UI_DETAIL_RARITY,稀有度：%s,Rarity: %s,Jarang: %s
UI_DETAIL_FRAGS,碎片：%d/%d,Fragments: %d/%d,Serpihan: %d/%d
UI_DETAIL_EFFECT,效果：%s,Effect: %s,Kesan: %s
UI_DETAIL_EFFECT_TBD,（效果待定）,(TBD),(TBD)
UI_DETAIL_LEVEL_INSUFFICIENT,等级不足,Level Required,Tahap Tidak Mencukupi
UI_DETAIL_UNLOCK_BTN,解锁（%d碎片）,Unlock (%d frags),Buka Kunci (%d serpihan)
UI_DETAIL_UNLOCK_HINT,解锁炮台后方可升级方向,Unlock tower to access upgrade paths,Buka kunci menara untuk akses laluan naik taraf
UI_DETAIL_UNLOCKED,✓ 已解锁,✓ Unlocked,✓ Dibuka
UI_DETAIL_PATHS_TBD,（升级路径待定）,(Upgrade paths TBD),(Laluan naik taraf TBD)
UI_HERO_UPGRADE_TITLE,%s %s 英雄升级 · 第 %d 波,%s %s Hero Upgrade · Wave %d,%s %s Naik Taraf Wira · Gelombang %d
UI_LEVEL_PASS_TITLE,升级通行证,Level Pass,Pas Tahap
UI_LEVEL_PASS_FREE,免费,Free,Percuma
UI_TRIAL_SELECT_TITLE,🎟️ 选择试用炮台,🎟️ Select Trial Tower,🎟️ Pilih Menara Percubaan
UI_TRIAL_BADGE,试用,Trial,Percubaan
UI_TRIAL_FREE_PLACE,免费放置,Free Place,Letak Percuma
UI_TRIAL_END_TITLE,🎟️ 试用结束,🎟️ Trial Ended,🎟️ Percubaan Tamat
UI_TRIAL_END_MSG,试用炮台已在战斗结束后移除。\n想要永久拥有？前往商店解锁！,Trial towers removed after battle.\nWant to keep them? Unlock in the shop!,Menara percubaan dialih selepas pertempuran.\nMahu simpan? Buka kunci di kedai!
UI_TRIAL_GO_SHOP,前往商店,Go to Shop,Pergi ke Kedai
UI_TRIAL_LATER,稍后再说,Maybe Later,Nanti
UI_SHOP_PKG_NEWBIE,🎁 新手礼包,🎁 Newbie Pack,🎁 Pek Pemula
UI_SHOP_DESC_NEWBIE,500💎 + 5000金 + 试用券×3,500💎 + 5000 Gold + Trial×3,500💎 + 5000 Emas + Percubaan×3
UI_SHOP_BADGE_NEWBIE,限时特惠,Limited Offer,Tawaran Terhad
UI_SHOP_PKG_MONTHLY,📅 月卡,📅 Monthly Card,📅 Kad Bulanan
UI_SHOP_DESC_MONTHLY,每日30💎×30天 + 首日200💎,30💎/day × 30 days + 200💎 Day 1,30💎/hari × 30 hari + 200💎 Hari 1
UI_SHOP_PKG_AD_FREE,🚫 免广告特权,🚫 Ad-Free,🚫 Tanpa Iklan
UI_SHOP_DESC_AD_FREE,永久去除所有广告，广告奖励自动获得,Remove all ads permanently. Ad rewards auto-claimed,Alih semua iklan. Ganjaran iklan automatik
UI_SHOP_PKG_HERO_AFU,👴 老阿福英雄包,👴 Old Afu Hero Pack,👴 Pek Wira Pak Afu
UI_SHOP_DESC_HERO_AFU,老阿福永久解锁 + 碎片×60 + 试用券×2,Old Afu unlock + 60 frags + Trial×2,Buka kunci Pak Afu + 60 serpihan + Percubaan×2
UI_SHOP_PKG_GEMS_MED,💎 中量钻石,💎 Medium Gems,💎 Permata Sederhana
UI_SHOP_DESC_GEMS_800,800💎 + 试用券×2,800💎 + Trial×2,800💎 + Percubaan×2
UI_SHOP_PKG_GEMS_LARGE,💎 大量钻石,💎 Large Gems,💎 Permata Banyak
UI_SHOP_DESC_GEMS_2000,2000💎 + 试用券×5 + 紫碎片×50,2000💎 + Trial×5 + Purple frags×50,2000💎 + Percubaan×5 + Serpihan Ungu×50
UI_SHOP_SECTION_SPECIAL,⭐ 特别优惠,⭐ Special Offers,⭐ Tawaran Istimewa
UI_SHOP_PKG_MONTHLY_V,📅 月卡（券）,📅 Monthly Card (Voucher),📅 Kad Bulanan (Baucar)
UI_SHOP_DESC_MONTHLY_V,🎫100券 = 每日30💎×30天 + 100💎,🎫100 Vouchers = 30💎/day×30d + 100💎,🎫100 Baucar = 30💎/hari×30h + 100💎
